,margin,kappa
0,0.1288678,0.8958004
1,0.059095494,0.70874524
2,0.1031334,0.82655823
3,0.15376753,0.80057204
4,0.21302563,0.9600461
5,0.06720412,0.7362602
6,0.07466871,0.7909187
7,0.23244506,0.9622433
8,0.19848683,0.94680613
9,0.11599457,0.69065416
10,0.23629984,0.97093374
11,0.1070047,0.57416487
12,0.081460565,0.70499015
13,0.17081293,0.89273477
14,0.20628014,0.928729
15,0.17354228,0.9042785
16,0.0882867,0.7650559
17,0.08235708,0.8026999
18,0.07395783,0.52725923
19,0.17671546,0.886641
20,0.07777774,0.4991023
21,0.08880854,0.4953711
22,0.08151584,0.6334051
23,0.054823585,0.38850754
24,0.19641843,0.9466954
25,0.15269893,0.7857824
26,0.15168326,0.8700234
27,0.12681073,0.65796196
28,0.13994312,0.73100257
29,0.12671593,0.9004153
30,0.1357114,0.9130414
31,0.15415785,0.8169189
32,0.14181238,0.759895
33,0.06816965,0.38789427
34,0.18934944,0.89590466
35,0.19085291,0.9015752
36,0.15202206,0.8118036
37,0.072745934,0.80105454
38,0.14475654,0.9102602
39,0.042589843,0.16081804
40,0.15358588,0.8937889
41,0.14791414,0.79300916
42,0.10887194,0.7366925
43,0.08025454,0.7988902
44,0.106693536,0.58421457
45,0.21174613,0.9409485
46,0.077432066,0.7727998
47,0.08479884,0.51802695
48,0.10991299,0.6204142
49,0.11067182,0.66523254
50,0.1372051,0.81773806
51,0.08590123,0.7553828
52,0.08772428,0.71287453
53,0.17417628,0.86958
54,0.13014305,0.74886036
55,0.16029674,0.83672434
56,0.13133132,0.7070792
57,0.16025138,0.81708336
58,0.10798001,0.562209
59,0.03647548,0.15208149
60,0.09987785,0.81234
61,0.08135817,0.60139155
62,0.1452525,0.75406283
63,0.14520577,0.79556566
64,0.1934263,0.9574908
65,0.12639453,0.795787
66,0.16152425,0.87119514
67,0.114016384,0.72290087
68,0.20374852,0.9324923
69,0.100165546,0.72589505
70,0.03245175,0.123770595
71,0.17945132,0.9009728
72,0.124655664,0.6518113
73,0.12826042,0.8632813
74,0.15783109,0.92849654
75,0.09589332,0.48229718
76,0.027053058,0.085176766
77,0.08838014,0.6520735
78,0.102113426,0.50807405
79,0.09938635,0.79302645
80,0.06477416,0.6163987
81,0.078463264,0.62315494
82,0.072205484,0.39093637
83,0.118226126,0.89450735
84,0.06962152,0.7894125
85,0.11703694,0.6807461
86,0.18535304,0.8953104
87,0.20967203,0.94637674
88,0.17926916,0.8778066
89,0.17082494,0.8470508
90,0.040256083,0.1568523
91,0.10281372,0.5760344
92,0.06286319,0.7327981
93,0.06523442,0.33717376
94,0.15538335,0.7922202
95,0.120138645,0.65068746
96,0.18734773,0.94573605
97,0.110222846,0.72792757
98,0.15999457,0.8107485
99,0.16855174,0.8409725
100,0.1748405,0.92916805
101,0.05945462,0.28942066
102,0.16005015,0.83577657
103,0.13271031,0.90633893
104,0.07864531,0.74415743
105,0.15732387,0.8401573
106,0.15532163,0.8381644
107,0.107578814,0.88189465
108,0.09175335,0.84664786
109,0.066427335,0.6387747
110,0.1657179,0.9251614
111,0.11717122,0.8276979
112,0.13885388,0.91848093
113,0.07772112,0.42100143
114,0.18447742,0.8850587
115,0.15662253,0.8319535
116,0.0919808,0.5958402
117,0.11219855,0.7654606
118,0.08566046,0.44996613
119,0.06438136,0.34272313
120,0.11226225,0.57297474
121,0.13913608,0.74807096
122,0.077085756,0.68932843
123,0.08722742,0.83430326
124,0.058311403,0.21623021
125,0.12674029,0.8021401
126,0.084058024,0.8386738
127,0.16140059,0.8567591
128,0.14113295,0.873598
129,0.1431587,0.7410537
130,0.11912502,0.81583565
131,0.18134785,0.8978894
132,0.17974079,0.8822685
133,0.12014566,0.87941974
134,0.15777138,0.8027979
135,0.21413672,0.9416726
136,0.17657977,0.92294335
137,0.15835753,0.8035612
138,0.068790376,0.32034487
139,0.114177555,0.60513705
140,0.1674487,0.8591387
141,0.1133603,0.69168234
142,0.059508324,0.23297435
143,0.17103668,0.90353906
144,0.09253575,0.80914426
145,0.21317494,0.96597093
146,0.055213094,0.24109226
147,0.17147133,0.88248
148,0.092066824,0.45023054
149,0.090408504,0.51084125
150,0.06921807,0.66400445
151,0.08704667,0.8415509
152,0.21829304,0.9544241
153,0.15533054,0.8201232
154,0.17858285,0.8725747
155,0.15320489,0.8584626
156,0.18354589,0.89772195
157,0.1616401,0.9431379
158,0.14992642,0.87595737
159,0.14260447,0.77709496
160,0.12385851,0.8967613
161,0.11807281,0.6809904
162,0.201194,0.95922565
163,0.14721967,0.90884626
164,0.15174803,0.88376
165,0.06317344,0.73973966
166,0.088021874,0.85138994
167,0.11482203,0.59858865
168,0.19005549,0.9004456
169,0.095238,0.84590405
170,0.15669245,0.9321721
171,0.08033122,0.7980977
172,0.15445216,0.8567745
173,0.152322,0.83927286
174,0.15535256,0.80231136
175,0.09301174,0.56036913
176,0.10725426,0.8059335
177,0.079291984,0.82321763
178,0.07240075,0.78392994
179,0.10065764,0.5155073
180,0.19617581,0.91885227
181,0.19758123,0.9206621
