,margin,kappa
0,-0.043447495,0.5142606
1,-0.093876034,0.69159496
2,-0.05443208,0.57946813
3,-0.03400449,0.4726506
4,-0.08894047,0.6735679
5,-0.102956235,0.7801811
6,-0.024077367,0.37696928
7,-0.032638576,0.45294756
8,-0.07626958,0.69460213
9,-0.041949663,0.5342836
10,-0.08118323,0.69462776
11,-0.046849146,0.5132947
12,-0.04281545,0.5325282
13,-0.026688749,0.4002667
14,-0.05384361,0.6033692
15,-0.09396535,0.7589133
16,-0.025985967,0.39722127
17,-0.116306305,0.7967055
18,-0.03752362,0.4836166
19,-0.04275278,0.5240727
20,-0.0436184,0.54138047
21,-0.031796455,0.22420716
22,-0.041016757,0.25832152
23,-0.123595804,0.82553434
24,-0.043078236,0.5291059
25,-0.09361026,0.68933594
26,-0.06537959,0.654003
27,-0.10137534,0.77627826
28,-0.028866261,0.43433797
29,-0.02015537,0.098552644
30,-0.026188638,0.39623857
31,-0.104727164,0.7924156
32,-0.037072226,0.49635231
33,-0.05901879,0.58390707
34,-0.028964493,0.41974503
35,-0.05134782,0.57763183
36,-0.053626597,0.5846504
37,-0.090981185,0.74932903
38,-0.04047536,0.5184639
39,-0.078592084,0.6962826
40,-0.083005555,0.71004295
41,-0.11908144,0.82623637
42,-0.07514608,0.61716765
43,-0.03652522,0.4969929
44,-0.10895923,0.7824769
45,-0.050809268,0.5892395
46,-0.054146335,0.6048466
47,-0.06477296,0.65453875
48,-0.062243335,0.64007604
49,-0.02252686,0.13676113
50,-0.027590076,0.41951567
51,-0.032228015,0.45694977
52,-0.061612338,0.62713957
53,-0.02916709,0.4323389
54,-0.03667188,0.49703014
55,-0.0773336,0.6374155
56,-0.03205633,0.43764502
57,-0.024809977,0.37677872
58,-0.051516823,0.5460535
59,-0.10967088,0.7774147
60,-0.04024578,0.52342427
61,-0.020189226,0.10409886
62,-0.08275464,0.7295319
63,-0.033627085,0.46505094
64,-0.10096811,0.76570874
65,-0.09648821,0.7292678
66,-0.053782515,0.5871217
67,-0.078234546,0.7140765
68,-0.07480073,0.5744436
69,-0.055279434,0.47817117
70,-0.018764555,0.09819293
71,-0.058991216,0.6190964
72,-0.07559594,0.6656871
73,-0.10779145,0.76393986
74,-0.04436346,0.50751144
75,-0.03137235,0.42093444
76,-0.09572467,0.75832343
77,-0.06565523,0.5570976
78,-0.03729945,0.49170578
79,-0.100535214,0.7595499
80,-0.053320445,0.5653304
81,-0.067536846,0.6382545
82,-0.09775518,0.73362935
83,-0.1125882,0.7977052
84,-0.10968995,0.79677
85,-0.12392259,0.8270646
86,-0.11568752,0.793759
87,-0.062356673,0.6359155
88,-0.032510005,0.46942967
89,-0.029335603,0.43400908
90,-0.1094504,0.7679806
91,-0.075271934,0.6604637
92,-0.09984988,0.7204516
93,-0.039828178,0.51275337
94,-0.027310112,0.41249847
95,-0.094957024,0.75508523
96,-0.011729658,0.046451986
97,-0.037235547,0.50269413
98,-0.081444174,0.7161379
99,-0.10108361,0.73905027
100,-0.11885314,0.81614983
101,-0.0964295,0.730461
102,-0.0658741,0.51455706
103,-0.04365309,0.5145494
104,-0.10419531,0.7580812
105,-0.09738465,0.740766
106,-0.04336853,0.5415128
107,-0.028558206,0.4272024
108,-0.030314982,0.18933582
109,-0.08874071,0.7207067
110,-0.10782921,0.761047
111,-0.06987956,0.6560327
112,-0.083884366,0.7180796
113,-0.027395401,0.39891106
114,-0.053669274,0.39622837
115,-0.042624325,0.53260636
116,-0.02547742,0.3900721
117,-0.06381063,0.6088948
118,-0.09313701,0.685959
119,-0.08196075,0.645216
120,-0.078267425,0.5825956
121,-0.072317064,0.5587852
122,-0.024641633,0.16240698
123,-0.033486843,0.20680833
124,-0.08950895,0.7124791
