,margin,kappa,advscore
0,0.2211259,0.719126716992517,0.3801434437904387
1,0.21233648,0.5381643465831447,0.32660840396481716
2,0.12491006,0.7742699110898528,0.22162415500200225
3,0.16779071,0.5880438669864674,0.2664590094234223
4,0.2689199,0.6671462649693327,0.4483287821180399
5,0.13843673,0.7638252510270265,0.24417820829189446
6,0.05463004,0.439568845316161,0.07864370521820034
7,0.20038241,0.4395394182021378,0.2884583800397885
8,0.006216675,0.001154878794514702,0.006223854549285751
9,0.03991133,0.03371156890747906,0.041256803289176046
10,0.23091069,0.4817679655260312,0.34215606132236226
11,0.13425875,0.3460194688878674,0.18071488746620978
12,0.035155,0.16071742800453048,0.04080501921113468
13,0.092333734,0.7812963069572204,0.164473739444992
14,0.040546715,0.27644812881005365,0.051755778822449194
15,0.05809349,0.7345522113981987,0.10076618845359207
16,0.18500882,0.5942187885150774,0.29494454305720147
17,0.056883633,0.7489103922425002,0.09948437714137065
18,0.09343827,0.7635600009807825,0.16478399149045397
19,0.1874907,0.6313304432524627,0.30585928946987007
20,0.16773564,0.6524353392107776,0.27717229295853374
21,0.20560229,0.684036239769317,0.34624170438602175
22,0.22907883,0.4575595713966172,0.33389604023375963
23,0.23659974,0.47745060428688724,0.3495644338105759
24,0.20811993,0.6635886340673993,0.3462259481358539
25,0.1337027,0.5382138258979334,0.20566333457752362
26,0.062232316,0.7333053326980703,0.10786760439217477
27,0.07856268,0.8158958980882955,0.14266164273750503
28,0.106565535,0.6087266945252043,0.17143482098107699
29,0.24037015,0.48807790039787247,0.35768951464929083
30,0.25230345,0.5143730596039496,0.3820815494933134
31,0.23773158,0.6442141895146617,0.3908816304987848
32,0.24015713,0.480081006548961,0.35545200282304673
33,0.22386676,0.6609250821778453,0.371825917963598
34,0.17489296,0.5933245974328247,0.2786612582388848
35,0.14458519,0.6993750792819162,0.24570447246385083
36,0.22790337,0.7184074548443006,0.3916308432712191
37,0.12631303,0.6553587957282745,0.2090933864170456
38,0.07503343,0.8225326561739396,0.13675086970864989
39,0.27557838,0.5974195882452162,0.44021430171950376
40,0.10228807,0.8080828720282259,0.18494530257186215
41,0.1261991,0.23364352286839518,0.15568469791661532
42,0.26429135,0.7327035110830158,0.45793854328980454
43,0.06761414,0.7202165494246289,0.1163109593800701
44,0.13585934,0.2582534652556958,0.17094548588252756
45,0.06981057,0.8031495426669069,0.125878896081992
46,0.13745725,0.6726393146826457,0.22991640302868982
47,0.056205988,0.7553118687019158,0.09865903770616845
48,0.13903481,0.26588568157286163,0.1760021722849276
49,0.25533152,0.5751587986863325,0.4021876844281062
50,0.069794655,0.7638556201430131,0.1231076942063965
51,0.23125798,0.7047051998809656,0.3942266726694204
52,0.21235734,0.7164479663030202,0.3645003282228458
53,0.16961384,0.690670779419875,0.2867611600228911
54,0.059009314,0.7572993437971222,0.10369702803798177
55,0.25379115,0.6770336517852575,0.42561630482907975
56,0.10384452,0.7070906233431471,0.17727201223266986
57,0.06379937,0.09424187012050855,0.06981193795273553
58,0.07657033,0.7484488897495551,0.13387931206114287
59,0.2139718,0.6655689878829905,0.35638478378777155
60,0.18233374,0.3605921142663535,0.24808184555928556
61,0.25265747,0.5470278045589483,0.390868135895674
62,0.2925762,0.7012135804509597,0.49773459422538924
63,0.12488425,0.6373316062030423,0.2044769260068343
64,0.010426909,0.0030039356374503834,0.010458230494187447
65,0.0029515624,0.00021436613036696084,0.0029521951196437865
66,0.23352093,0.5150408031654587,0.35379372983613805
67,0.14316231,0.3912127342529509,0.19916922890880487
68,0.11981112,0.6346575067887102,0.1958501428618113
69,0.13246602,0.6020793595817777,0.212221073604077
70,0.0927304,0.6307628111716125,0.1512212925900653
71,0.06064862,0.739740738294596,0.10551287515913402
72,0.059449077,0.7295120022991461,0.10281789159614714
73,0.1378107,0.8233799117588105,0.2512812749373502
74,0.16751987,0.32782044408594513,0.222436304751104
75,0.055125654,0.7436386181592474,0.09611921871886675
76,0.04492645,0.0533479649631553,0.04732318431867971
77,0.06886071,0.7096411069180275,0.11772709989860267
78,0.04872659,0.047030236133815184,0.05101821145019337
79,0.25787055,0.5363485642714103,0.3961790568253765
80,0.036285877,0.029248206535176124,0.03734717405925145
81,0.061352372,0.7269985347306578,0.10595545683896722
82,0.06644791,0.8380299787991516,0.12213325731128818
83,0.06325269,0.7213475202176887,0.10887985669643235
84,0.21323454,0.42564175916849945,0.30399607013902913
85,0.26274863,0.5223256942445971,0.39998898883312567
86,0.16485012,0.3233845256986412,0.21816009227766991
87,0.09166962,0.8050327499502204,0.1654666646210069
88,0.13318491,0.8135049969561262,0.2415314994787305
89,0.052809834,0.0569206455981065,0.05581580435283264
90,0.21040806,0.42685330157053625,0.30022143757474656
91,0.04428029,0.1059360449616108,0.04897116945993785
92,0.056667507,0.740005344524397,0.09860176450981309
93,0.27815348,0.6323584919428344,0.45404619367114313
94,0.25819838,0.5199568726895902,0.3924504029131175
95,0.099132776,0.791162733967173,0.1775629345522911
96,0.17161751,0.3375416416133503,0.22954556329239734
